thesis_id,school,year,author_name,title,issue_type,detail,date_logged,next_action
,MIT,2020,,,inaccessible,"[RESOLVED 2026-08-06] Batch execution was initially blocked at the source-list stage: this session's remote environment network policy denied outbound access to all external domains except an allowlist (npmjs.org, pypi.org, github.com/api.github.com, anthropic.com). Attempts to reach dspace.mit.edu, en.wikipedia.org, and www.google.com all failed at the network gateway (403 / connection refused). User widened the environment's network access policy; connectivity to dspace.mit.edu confirmed restored same day and the MIT 2020 EECS batch proceeded.",2026-08-06,"Resolved -- no further action."
MIT-2020-096,Massachusetts Institute of Technology,2020,"Yang, Tien-Ju",Hardware-aware efficient deep neural network design,embargoed,"DSpace@MIT item record (handle 1721.1/129314) exists with THUMBNAIL/TEXT/COVERPAGE bundles only -- no ORIGINAL (PDF) bundle is exposed via the public REST API, i.e. the full-text PDF is not publicly accessible (likely under MIT thesis embargo or restricted access). Acknowledgments section could not be located or extracted.",2026-08-06,"Needs manual confirmation via MIT Libraries 'request a copy' process or a later re-check after any embargo expires; do not guess acknowledgments content."
MIT-2020-002,Massachusetts Institute of Technology,2020,"Walsh, Michael P",Statistical metrology and process control of quantum devices,relationship_unclear,Text is truncated mid-sentence ('I will also always...'); acknowledgments may continue beyond provided excerpt with additional named people not captured.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-003,Massachusetts Institute of Technology,2020,"Stein, Gregory Joseph",Representations for intelligent navigation in unfamiliar environments,relationship_unclear,Text is truncated mid-sentence ('Her...'); the description of the wife Lucia and any further family/friends thanks may be cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-004,Massachusetts Institute of Technology,2020,"Toomey, Emily",Superconducting nanowire electronics for alternative computing,relationship_unclear,"Text ends after a list of collaborators/mentors without reaching family or closing thanks typical of this section; likely truncated at page boundary, additional named people may exist beyond provided excerpt.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-005,Massachusetts Institute of Technology,2020,"Staib, Matthew James",Learning and optimization in the face of data perturbations,relationship_unclear,"Text is truncated mid-sentence ('...for teaching'); acknowledgments may continue with additional named people (e.g., family) not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-006,Massachusetts Institute of Technology,2020,"Sarkar, Tuhin",Learning structure from unstructured data,relationship_unclear,Text is truncated mid-sentence ('...express my thanks to all my co-authors for their'); the co-author list and any family/friends thanks are cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-007,Massachusetts Institute of Technology,2020,"Raghuraman, Srinivasan",Infrastructures for secure multiparty computation,relationship_unclear,Text ends after thanking the graduate administrator without any family or friends acknowledgment typical of this section; likely truncated at page boundary.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-010,Massachusetts Institute of Technology,2020,"Ajjanagadde, Ganesh","Fourier analysis on the hypercube, the coefficient problem, and applications",relationship_unclear,"Text is truncated mid-list of named friends, ending abruptly after 'Deepak Narayanan,'; additional named friends (and possibly other sections) are cut off.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-012,Massachusetts Institute of Technology,2020,"Deng, Mo",Deep learning with physical and power-spectral priors for robust image inversion,relationship_unclear,Text truncated mid-sentence; family and closing acknowledgments likely cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-015,Massachusetts Institute of Technology,2020,"Dikkala, Sai Nishanth",Statistical inference from dependent data : networks and Markov chains,relationship_unclear,Text truncated mid-list of co-authors; family/closing acknowledgments not reached.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
